file_path	top_archive_dir	sub_bucket	classification	reason	recommended_next_action
/data/data/com.termux/files/home/01.civilization-system/02.persona-os/999.archive/020.deep_index_original_backup_20260417_083712/000.rules/050.growth/00005000_PERSONA_OS_GROWTH_RULE_INDEX.md	020.deep_index_original_backup_20260417_083712	050.growth	review_required	general archive content without active delete rule	keep_for_now_and_review_later
/data/data/com.termux/files/home/01.civilization-system/02.persona-os/999.archive/020.deep_index_original_backup_20260417_083712/000.rules/060.builder/00006000_PERSONA_OS_BUILDER_RULE_INDEX.md	020.deep_index_original_backup_20260417_083712	060.builder	review_required	general archive content without active delete rule	keep_for_now_and_review_later
/data/data/com.termux/files/home/01.civilization-system/02.persona-os/999.archive/020.deep_index_original_backup_20260417_083712/000.rules/070.visual/00007000_PERSONA_OS_VISUAL_RULE_INDEX.md	020.deep_index_original_backup_20260417_083712	070.visual	review_required	general archive content without active delete rule	keep_for_now_and_review_later
/data/data/com.termux/files/home/01.civilization-system/02.persona-os/999.archive/020.deep_index_original_backup_20260417_083712/000.rules/080.runtime_hosting/00008000_PERSONA_OS_RUNTIME_HOSTING_RULE_INDEX.md	020.deep_index_original_backup_20260417_083712	080.runtime_hosting	review_required	general archive content without active delete rule	keep_for_now_and_review_later
/data/data/com.termux/files/home/01.civilization-system/02.persona-os/999.archive/020.deep_index_original_backup_20260417_083712/000.rules/090.snapshot/00009000_PERSONA_OS_SNAPSHOT_RULE_INDEX.md	020.deep_index_original_backup_20260417_083712	090.snapshot	review_required	general archive content without active delete rule	keep_for_now_and_review_later
/data/data/com.termux/files/home/01.civilization-system/02.persona-os/999.archive/020.deep_index_original_backup_20260417_083712/000.rules/100.package/00010000_PERSONA_OS_PACKAGE_RULE_INDEX.md	020.deep_index_original_backup_20260417_083712	100.package	review_required	general archive content without active delete rule	keep_for_now_and_review_later
/data/data/com.termux/files/home/01.civilization-system/02.persona-os/999.archive/020.deep_index_original_backup_20260417_083712/000.rules/110.distribution/00011000_PERSONA_OS_DISTRIBUTION_RULE_INDEX.md	020.deep_index_original_backup_20260417_083712	110.distribution	review_required	general archive content without active delete rule	keep_for_now_and_review_later
/data/data/com.termux/files/home/01.civilization-system/02.persona-os/999.archive/020.deep_index_original_backup_20260417_083712/000.rules/120.external_rights/00012000_PERSONA_OS_EXTERNAL_RIGHTS_RULE_INDEX.md	020.deep_index_original_backup_20260417_083712	120.external_rights	review_required	general archive content without active delete rule	keep_for_now_and_review_later
/data/data/com.termux/files/home/01.civilization-system/02.persona-os/999.archive/020.deep_index_original_backup_20260417_083712/000.rules/130.access_license_transfer/00013000_PERSONA_OS_ACCESS_LICENSE_TRANSFER_RULE_INDEX.md	020.deep_index_original_backup_20260417_083712	130.access_license_transfer	review_required	general archive content without active delete rule	keep_for_now_and_review_later
/data/data/com.termux/files/home/01.civilization-system/02.persona-os/999.archive/020.deep_index_original_backup_20260417_083712/000.rules/140.integration/00014000_PERSONA_OS_INTEGRATION_RULE_INDEX.md	020.deep_index_original_backup_20260417_083712	140.integration	review_required	general archive content without active delete rule	keep_for_now_and_review_later
/data/data/com.termux/files/home/01.civilization-system/02.persona-os/999.archive/020.deep_index_original_backup_20260417_083712/000.rules/150.security/00015000_PERSONA_OS_SECURITY_RULE_INDEX.md	020.deep_index_original_backup_20260417_083712	150.security	review_required	general archive content without active delete rule	keep_for_now_and_review_later
/data/data/com.termux/files/home/01.civilization-system/02.persona-os/999.archive/020.deep_index_original_backup_20260417_083712/000.rules/160.governance/00016000_PERSONA_OS_GOVERNANCE_RULE_INDEX.md	020.deep_index_original_backup_20260417_083712	160.governance	review_required	general archive content without active delete rule	keep_for_now_and_review_later
/data/data/com.termux/files/home/01.civilization-system/02.persona-os/999.archive/020.deep_index_original_backup_20260417_083712/000.rules/170.operations_support/00017000_PERSONA_OS_OPERATIONS_SUPPORT_RULE_INDEX.md	020.deep_index_original_backup_20260417_083712	170.operations_support	review_required	general archive content without active delete rule	keep_for_now_and_review_later
/data/data/com.termux/files/home/01.civilization-system/02.persona-os/999.archive/020.deep_index_original_backup_20260417_083712/010.constitution/010.core/0100100000_PERSONA_CORE_CONSTITUTION_INDEX.md	020.deep_index_original_backup_20260417_083712	010.core	review_required	general archive content without active delete rule	keep_for_now_and_review_later
/data/data/com.termux/files/home/01.civilization-system/02.persona-os/999.archive/020.deep_index_original_backup_20260417_083712/010.constitution/0100000_PERSONA_OS_CONSTITUTION_INDEX.md	020.deep_index_original_backup_20260417_083712	010.constitution	review_required	general archive content without active delete rule	keep_for_now_and_review_later
/data/data/com.termux/files/home/01.civilization-system/02.persona-os/999.archive/020.deep_index_original_backup_20260417_083712/010.constitution/020.identity/0100200000_PERSONA_IDENTITY_CONSTITUTION_INDEX.md	020.deep_index_original_backup_20260417_083712	020.identity	review_required	general archive content without active delete rule	keep_for_now_and_review_later
/data/data/com.termux/files/home/01.civilization-system/02.persona-os/999.archive/020.deep_index_original_backup_20260417_083712/010.constitution/030.state/0100300000_PERSONA_STATE_CONSTITUTION_INDEX.md	020.deep_index_original_backup_20260417_083712	030.state	review_required	general archive content without active delete rule	keep_for_now_and_review_later
/data/data/com.termux/files/home/01.civilization-system/02.persona-os/999.archive/020.deep_index_original_backup_20260417_083712/010.constitution/040.memory/0100400000_PERSONA_MEMORY_CONSTITUTION_INDEX.md	020.deep_index_original_backup_20260417_083712	040.memory	review_required	general archive content without active delete rule	keep_for_now_and_review_later
