archive_top_dir	file_count	dir_count	class_hint
700.edge_packet_maintenance_ops_pack_backup_20260419_071627	0	1	archive_bundle
710.edge_implementation_entry_gate_pack_backup_20260419_075111	0	1	archive_bundle
720.edge_implementation_entry_top5_candidate_pack_backup_20260419_093234	0	1	archive_bundle
730.persona_state_apply_actual_gate_review_backup_20260419_104342	0	1	archive_bundle
740.persona_state_apply_no_code_implementation_entry_discussion_backup_20260419_105016	0	1	archive_bundle
750.snapshot_issue_actual_gate_review_backup_20260419_105310	0	1	archive_bundle
760.snapshot_issue_no_code_implementation_entry_discussion_backup_20260419_105833	0	1	archive_bundle
770.snapshot_verify_actual_gate_review_backup_20260419_105959	0	1	archive_bundle
780.snapshot_verify_no_code_implementation_entry_discussion_backup_20260419_110313	0	1	archive_bundle
790.publish_apply_actual_gate_review_backup_20260419_111156	0	1	archive_bundle
800.publish_apply_no_code_implementation_entry_discussion_backup_20260419_111419	0	1	archive_bundle
810.civilization_event_dispatcher_actual_gate_review_backup_20260419_112028	0	1	archive_bundle
820.civilization_event_dispatcher_no_code_implementation_entry_discussion_backup_20260419_112633	0	1	archive_bundle
830.top5_no_code_entry_atlas_backup_20260419_112921	0	1	archive_bundle
840.non_top5_bundle_operationalization_pack_backup_20260419_114219	0	1	archive_bundle
850.packet_lifecycle_readiness_master_ledger_backup_20260419_115009	0	1	archive_bundle
870.persona_os_overall_integration_pack_backup_20260419_170026	0	1	archive_bundle
880.persona_os_residual_unfrozen_recovery_pack_backup_20260419_170409	0	1	archive_bundle
890.persona_os_final_completion_pack_backup_20260419_171015	0	1	archive_bundle
900.persona_os_absolute_design_completion_pack_backup_20260419_172249	0	1	archive_bundle
910.md_integrated_regeneration_backup_20260419_184105	0	1	archive_bundle
910.md_integrated_regeneration_backup_20260419_185238	1	1	archive_bundle
930.legacy	218	53	archive_bundle
930.root_direct_apply_and_rehome_20260420_042416	159	9	root_normalization_bundle
999.dump	1	1	archive_bundle
full-books_20260321_144842	9	1	archive_bundle
full-books_20260330_073003	12	1	archive_bundle
full-books_20260330_074448	12	1	archive_bundle
full-books_20260330_075201	12	1	archive_bundle
full-books_20260330_080410	12	1	archive_bundle
legacy-index	1	1	archive_bundle
